index,name,rank,generation,evolves_from,type1,type2,hp,atk,def,spatk,spdef,speed,total
1,Bulbasaur,Ordinary,1,Original,Grass,Poison,45,49,49,65,65,45,318
2,Ivysaur,Ordinary,1,Bulbasaur,Grass,Poison,60,62,63,80,80,60,405
3,Venusaur,Ordinary,1,Ivysaur,Grass,Poison,80,82,83,100,100,80,525
4,Charmander,Ordinary,1,Original,Fire,Fire,39,52,43,60,50,65,309
5,Charmeleon,Ordinary,1,Charmander,Fire,Fire,58,64,58,80,65,80,405
6,Charizard,Ordinary,1,Charmeleon,Fire,Flying,78,84,78,109,85,100,534
7,Squirtle,Ordinary,1,Original,Water,Water,44,48,65,50,64,43,314
8,Wartortle,Ordinary,1,Squirtle,Water,Water,59,63,80,65,80,58,405
9,Blastoise,Ordinary,1,Wartortle,Water,Water,79,83,100,85,105,78,530
10,Caterpie,Ordinary,1,Original,Bug,Bug,45,30,35,20,20,45,195
11,Metapod,Ordinary,1,Caterpie,Bug,Bug,50,20,55,25,25,30,205
12,Butterfree,Ordinary,1,Metapod,Bug,Flying,60,45,50,90,80,70,395
13,Weedle,Ordinary,1,Original,Bug,Poison,40,35,30,20,20,50,195
14,Kakuna,Ordinary,1,Weedle,Bug,Poison,45,25,50,25,25,35,205
15,Beedrill,Ordinary,1,Kakuna,Bug,Poison,65,90,40,45,80,75,395
16,Pidgey,Ordinary,1,Original,Normal,Flying,40,45,40,35,35,56,251
17,Pidgeotto,Ordinary,1,Pidgey,Normal,Flying,63,60,55,50,50,71,349
18,Pidgeot,Ordinary,1,Pidgeotto,Normal,Flying,83,80,75,70,70,101,479
19,Rattata,Ordinary,1,Original,Normal,Normal,30,56,35,25,35,72,253
20,Raticate,Ordinary,1,Rattata,Normal,Normal,55,81,60,50,70,97,413
21,Spearow,Ordinary,1,Original,Normal,Flying,40,60,30,31,31,70,262
22,Fearow,Ordinary,1,Spearow,Normal,Flying,65,90,65,61,61,100,442
23,Ekans,Ordinary,1,Original,Poison,Poison,35,60,44,40,54,55,288
24,Arbok,Ordinary,1,Ekans,Poison,Poison,60,95,69,65,79,80,448
25,Pikachu,Ordinary,1,Pichu,Electric,Electric,35,55,40,50,50,90,320
26,Raichu,Ordinary,1,Pikachu,Electric,Electric,60,90,55,90,80,110,485
27,Sandshrew,Ordinary,1,Original,Ground,Ground,50,75,85,20,30,40,300
28,Sandslash,Ordinary,1,Sandshrew,Ground,Ground,75,100,110,45,55,65,450
29,Nidoranf,Ordinary,1,Original,Poison,Poison,55,47,52,40,40,41,275
30,Nidorina,Ordinary,1,Nidoran-F,Poison,Poison,70,62,67,55,55,56,365
31,Nidoqueen,Ordinary,1,Nidorina,Poison,Ground,90,92,87,75,85,76,505
32,Nidoranm,Ordinary,1,Original,Poison,Poison,46,57,40,40,40,50,273
33,Nidorino,Ordinary,1,Nidoran-M,Poison,Poison,61,72,57,55,55,65,365
34,Nidoking,Ordinary,1,Nidorino,Poison,Ground,81,102,77,85,75,85,505
35,Clefairy,Ordinary,1,Cleffa,Fairy,Fairy,70,45,48,60,65,35,323
36,Clefable,Ordinary,1,Clefairy,Fairy,Fairy,95,70,73,95,90,60,483
