index,name,rank,generation,evolves_from,type1,type2,hp,atk,def,spatk,spdef,speed,total
480,Uxie,Legendary,4,Original,Psychic,Psychic,75,75,130,75,130,95,580
481,Mesprit,Legendary,4,Original,Psychic,Psychic,80,105,105,105,105,80,580
482,Azelf,Legendary,4,Original,Psychic,Psychic,75,125,70,125,70,115,580
483,Dialga,Legendary,4,Original,Steel,Dragon,100,120,120,150,100,90,680
484,Palkia,Legendary,4,Original,Water,Dragon,90,120,100,150,120,100,680
485,Heatran,Legendary,4,Original,Fire,Steel,91,90,106,130,106,77,600
486,Regigigas,Legendary,4,Original,Normal,Normal,110,160,110,80,110,100,670
487,Giratina,Legendary,4,Original,Ghost,Dragon,150,100,120,100,120,90,680
488,Cresselia,Legendary,4,Original,Psychic,Psychic,120,70,110,75,120,85,580
489,Phione,Mythical,4,Original,Water,Water,80,80,80,80,80,80,480
490,Manaphy,Mythical,4,Original,Water,Water,100,100,100,100,100,100,600
491,Darkrai,Mythical,4,Original,Dark,Dark,70,90,90,135,90,125,600
492,Shaymin,Mythical,4,Original,Grass,Grass,100,100,100,100,100,100,600
493,Arceus,Mythical,4,Original,Normal,Normal,120,120,120,120,120,120,720
